SPCaçapava;350850;3508504;SP;Caçapava;Região Sudeste;84752;Médio;;
SPCachoeira Paulista;350860;3508603;SP;Cachoeira Paulista;Região Sudeste;30091;Pequeno II;;
SPCaconde;350870;3508702;SP;Caconde;Região Sudeste;18538;Pequeno I;;
SPCafelândia;350880;3508801;SP;Cafelândia;Região Sudeste;16607;Pequeno I;;
SPCaiabu;350890;3508900;SP;Caiabu;Região Sudeste;4072;Pequeno I;;
SPCaieiras;350900;3509007;SP;Caieiras;Região Sudeste;86529;Médio;;
SPCaiuá;350910;3509106;SP;Caiuá;Região Sudeste;5039;Pequeno I;;
SPCajamar;350920;3509205;SP;Cajamar;Região Sudeste;64114;Médio;;
SPCajati;350925;3509254;SP;Cajati;Região Sudeste;28372;Pequeno II;;
SPCajobi;350930;3509304;SP;Cajobi;Região Sudeste;9768;Pequeno I;;
SPCajuru;350940;3509403;SP;Cajuru;Região Sudeste;23371;Pequeno II;;
SPCampina do Monte Alegre;350945;3509452;SP;Campina do Monte Alegre;Região Sudeste;5567;Pequeno I;;
SPCampinas;350950;3509502;SP;Campinas;Região Sudeste;1080113;Metrópole;;
SPCampo Limpo Paulista;350960;3509601;SP;Campo Limpo Paulista;Região Sudeste;74074;Médio;;
SPCampos do Jordão;350970;3509700;SP;Campos do Jordão;Região Sudeste;47789;Pequeno II;;
SPCampos Novos Paulista;350980;3509809;SP;Campos Novos Paulista;Região Sudeste;4539;Pequeno I;;
SPCananéia;350990;3509908;SP;Cananéia;Região Sudeste;12226;Pequeno I;;
SPCanas;350995;3509957;SP;Canas;Região Sudeste;4385;Pequeno I;;
SPCândido Mota;351000;3510005;SP;Cândido Mota;Região Sudeste;29884;Pequeno II;;
SPCândido Rodrigues;351010;3510104;SP;Cândido Rodrigues;Região Sudeste;2668;Pequeno I;;
SPCanitar;351015;3510153;SP;Canitar;Região Sudeste;4369;Pequeno I;;
SPCapão Bonito;351020;3510203;SP;Capão Bonito;Região Sudeste;46178;Pequeno II;;
SPCapela do Alto;351030;3510302;SP;Capela do Alto;Região Sudeste;17532;Pequeno I;;
SPCapivari;351040;3510401;SP;Capivari;Região Sudeste;48576;Pequeno II;;
SPCaraguatatuba;351050;3510500;SP;Caraguatatuba;Região Sudeste;100840;Grande;;
SPCarapicuíba;351060;3510609;SP;Carapicuíba;Região Sudeste;369584;Grande;;
SPCardoso;351070;3510708;SP;Cardoso;Região Sudeste;11805;Pequeno I;;
SPCasa Branca;351080;3510807;SP;Casa Branca;Região Sudeste;28307;Pequeno II;;
