MTSinop;510790;5107909;MT;Sinop;Região Centro-Oeste;113099;Grande;;
MTSorriso;510792;5107925;MT;Sorriso;Região Centro-Oeste;66521;Médio;;
MTTabaporã;510794;5107941;MT;Tabaporã;Região Centro-Oeste;9932;Pequeno I;;
MTTangará da Serra;510795;5107958;MT;Tangará da Serra;Região Centro-Oeste;83431;Médio;;
MTTapurah;510800;5108006;MT;Tapurah;Região Centro-Oeste;10392;Pequeno I;;
MTTerra Nova do Norte;510805;5108055;MT;Terra Nova do Norte;Região Centro-Oeste;11291;Pequeno I;;
MTTesouro;510810;5108105;MT;Tesouro;Região Centro-Oeste;3418;Pequeno I;;
MTTorixoréu;510820;5108204;MT;Torixoréu;Região Centro-Oeste;4071;Pequeno I;;
MTUnião do Sul;510830;5108303;MT;União do Sul;Região Centro-Oeste;3760;Pequeno I;;
MTVale de São Domingos;510835;5108352;MT;Vale de São Domingos;Região Centro-Oeste;3052;Pequeno I;;
MTVárzea Grande;510840;5108402;MT;Várzea Grande;Região Centro-Oeste;252596;Grande;;
MTVera;510850;5108501;MT;Vera;Região Centro-Oeste;10235;Pequeno I;;
MTVila Rica;510860;5108600;MT;Vila Rica;Região Centro-Oeste;21382;Pequeno II;;
MTNova Guarita;510880;5108808;MT;Nova Guarita;Região Centro-Oeste;4932;Pequeno I;;
MTNova Marilândia;510885;5108857;MT;Nova Marilândia;Região Centro-Oeste;2951;Pequeno I;;
MTNova Maringá;510890;5108907;MT;Nova Maringá;Região Centro-Oeste;6590;Pequeno I;;
MTNova Monte Verde;510895;5108956;MT;Nova Monte Verde;Região Centro-Oeste;8093;Pequeno I;;
